,Site Type,sample Type,distancetoirport,distancetolandfil,distancetochemfactory,distancetofirefighting,distancetowaterways,Total PFAS,PFAS_Found
185,1,1,9.804681751786504,1.0246304895729257,4.304602840312502,4.304602840312502,25.519048931370083,1.25,1
186,1,1,7.26981739102424,3.5327987625501556,2.329153320944379,2.329153320944379,11.154075350072514,1.15,1
187,1,1,6.026614920675237,1.5437596170780625,4.234592639737878,4.234592639737878,17.01149541341962,9.2,1
188,1,1,19.204524162409914,8.959486165039104,6.753388316772995,6.753388316772995,1.1744279141343714,0.0,0
189,1,0,5.8551453661419135,8.493597068126343,4.2400929973719235,4.2400929973719235,1.371438735221052,6.6,1
190,5,1,12.438266161848402,5.692209993401136,7.4103308495216655,7.4103308495216655,5.618024557980108,124.0,1
191,0,4,4.457542309100817,11.401886612920313,3.1577919600442574,3.1577919600442574,15.649501280455635,25.62,1
192,1,1,11.385153464470111,8.25689580935505,11.979436990961487,11.979436990961487,19.829155385969404,6.73,1
193,5,1,13.70662215002977,5.612715738005731,15.537203612824847,15.537203612824847,23.02411686729472,25.0,1
194,1,4,12.676229333861642,2.0957921832023545,5.75673234278021,5.75673234278021,27.87737977308719,7.8,1
195,8,6,1.2769770227599928,5.521359636111335,12.63705239132925,12.63705239132925,22.811665743975226,32.0,1
196,1,4,9.514726208705689,2.7020553401923104,7.841434376616003,7.841434376616003,30.528435480211076,3.7,1
197,1,4,7.95616175508607,4.387643825240866,4.701505502373463,4.701505502373463,24.436294666785365,0.0,0
198,0,1,10.894168641265248,4.683797104370928,5.730080970056332,5.730080970056332,36.3263921065481,0.0,0
199,3,1,9.172919545565465,5.076983021184832,9.301026709364365,9.301026709364365,11.904230474899144,25.0,1
200,0,1,17.401334219085054,18.16284313704212,1.4358727948795658,1.4358727948795658,3.0887167793785717,63.0,1
201,3,3,18.152611584381948,17.915709010660052,1.7668216702426263,1.7668216702426263,2.9911168582887364,62.82,1
202,4,1,18.830643984422487,13.04887805176561,24.39501612216248,24.39501612216248,11.607463003171413,79.0,1
203,1,1,12.036714927357215,6.54332720216037,17.5869084077173,17.5869084077173,17.34461666511036,21.0,1
204,0,1,7.842596502793068,2.9389086217369966,13.340225856364638,13.340225856364638,21.160501291458015,118.0,1
